,Phylum,Class,Order,Family,Genus,Species,modern_longitude,modern_latitude,start_year,end_year,ancient_longitude,ancient_latitude
0,Pteridophyta,Filicopsida,O,F,Cladophlebidium,Cladophlebidium wongi,84.866,45.596000000000004,-247,-201,62.08,48.52
1,Gymnospermae,Pteridospermopsida,Corystospermaceae,F,Protoblechnum,Protoblechnum hughesi,112.29799999999999,39.001,-247,-201,97.14,45.89
2,Gymnospermae,Pteridospermopsida,O,F,Aipteridium,Aipteridium cf.kuqaense,82.925,41.708,-247,-237,72.78,41.71
3,Gymnospermae,Pteridospermopsida,O,F,Aipteridium,Aipteridium kuqaense,82.925,41.708,-247,-237,72.78,41.71
4,Gymnospermae,Pteridospermopsida,O,F,Aipteris,Aipteris cf.wuziwanensis,123.68700000000001,41.282,-247,-237,103.08,43.53
5,Gymnospermae,Pteridospermopsida,O,F,Aipteris,Aipteris wuziwanensis,111.005,40.041,-247,-237,89.68,43.69
6,Gymnospermae,Coniferopsida,O,Taxodiaceae,Albertia,Albertia cf.latifolia,123.68700000000001,41.282,-247,-237,103.08,43.53
7,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis zeilleri,116.913,30.625,-247,-237,100.73,25.8
8,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis zeilleri,118.791,32.059,-247,-237,101.28,27.89
9,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis brevicystis,108.759,31.469,-247,-237,93.87,22.59
10,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis sangziensis,108.759,31.469,-247,-237,93.87,22.59
11,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis zeilleri,108.759,31.469,-247,-237,93.87,22.59
12,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis sangziensis,108.865,30.131,-247,-237,94.74,21.52
13,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis zeilleri,108.865,30.131,-247,-237,94.74,21.52
14,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis brevicystis,108.744,29.752,-247,-237,94.86,21.15
15,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis brevicystis,109.51700000000001,30.284000000000002,-247,-237,95.16,21.96
16,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis sangziensis,110.756,30.967,-247,-237,95.71,23.12
17,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis zeilleri,110.756,30.967,-247,-237,95.71,23.12
18,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis angusta,110.164,29.475,-247,-237,96.14,21.59
19,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis latiloba,110.164,29.475,-247,-237,96.14,21.59
20,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis sangziensis,110.164,29.475,-247,-237,96.14,21.59
21,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis zeilleri,110.164,29.475,-247,-237,96.14,21.59
22,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis furongqiqoensis,110.294,29.511,-247,-237,96.22,21.68
23,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis zeilleri,112.96799999999999,37.071,-247,-201,97.27,43.89
24,Pteridophyta,Lycopsida,Lepidodendrales,F,Annalepis,Annalepis shanxiensis,114.075,40.418,-247,-201,99.54,46.96
25,Pteridophyta,Filicopsida,O,F,Anomopteris,Anomopteris ermayingensis,112.557,36.698,-247,-237,90.71,40.21
26,Gymnospermae,Pteridospermopsida,O,F,Benxipteris,Benxipteris acuta,123.68700000000001,41.282,-247,-237,103.08,43.53
27,Gymnospermae,Pteridospermopsida,O,F,Benxipteris,Benxipteris densinervis,123.68700000000001,41.282,-247,-237,103.08,43.53
28,Gymnospermae,Pteridospermopsida,O,F,Benxipteris,Benxipteris partita,123.68700000000001,41.282,-247,-237,103.08,43.53
29,Gymnospermae,Pteridospermopsida,O,F,Benxipteris,Benxipteris polymorpha,123.68700000000001,41.282,-247,-237,103.08,43.53
30,Pteridophyta,C,O,F,Bernouillia,Bernouillia zeilleri,110.681,36.097,-247,-201,88.66,39.81
31,Pteridophyta,Filicopsida,O,Marattiaceae,Bernoullia,Bernoullia zeilleri,88.896,44.016999999999996,-247,-237,84.73,47.57
32,Pteridophyta,Filicopsida,O,Marattiaceae,Bernoullia,Bernoullia zeilleri,108.944,35.323,-247,-201,86.72,39.22
33,Pteridophyta,Filicopsida,O,Marattiaceae,Bernoullia,Bernoullia zeilleri,109.22399999999999,36.383,-247,-201,87.18,40.24
34,Pteridophyta,Filicopsida,O,Marattiaceae,Bernoullia,Bernoullia zeilleri,110.7,38.643,-247,-201,89.11,42.33
35,Pteridophyta,Filicopsida,O,Marattiaceae,Bernoullia,Bernoullia zeilleri,111.01700000000001,40.048,-247,-237,89.7,43.69
36,Pteridophyta,Filicopsida,O,Marattiaceae,Bernoullia,Bernoullia zeilleri,111.01700000000001,40.048,-247,-201,89.7,43.69
37,Pteridophyta,Sphenopsida,Equisetales,F,Calamites,Calamites shanxiensis,112.551,36.698,-247,-237,90.71,40.21
38,Pteridophyta,Sphenopsida,Equisetales,F,Calamites,Calamites shanxiensis,108.759,31.469,-247,-237,93.87,22.59
39,Pteridophyta,Sphenopsida,Equisetales,F,Calamites,Calamites shanxiensis,109.51700000000001,30.284000000000002,-247,-237,95.16,21.96
40,Pteridophyta,Sphenopsida,Equisetales,F,Calamites,Calamites shanxiensis,110.573,30.874000000000002,-247,-237,95.63,22.95
41,Pteridophyta,Sphenopsida,Equisetales,F,Calamites,Calamites shanxiensis,110.164,29.475,-247,-237,98.13,11.51
42,Pteridophyta,Filicopsida,O,Marattiaceae,Cf.Symopteris,Cf.Symopteris helvetica,123.69200000000001,41.284,-247,-237,103.09,43.54
43,Pteridophyta,Filicopsida,O,Osmundaceae,Cf.Todites,Cf.Todites cf.shensiensis,123.69200000000001,41.284,-247,-237,103.09,43.54
44,Pteridophyta,Filicopsida,O,F,Chiropteris,Chiropteris taizihoensis,123.699,41.288999999999994,-247,-237,103.1,43.54
45,Pteridophyta,Filicopsida,O,F,Chiropteris,Chiropteris yuanii,84.866,45.596000000000004,-247,-201,62.08,48.52
46,Pteridophyta,Filicopsida,O,F,Chiropteris,Chiropteris manasiensis,85.66799999999999,43.925,-247,-201,82.21,49.18
47,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis ichunensis,123.69200000000001,41.284,-247,-237,103.09,43.54
48,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis tenerus,123.699,41.288999999999994,-247,-237,103.1,43.54
49,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.paralobifolia,84.863,45.549,-247,-201,62.14,48.5
50,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.paralobifolia,82.962,41.717,-247,-237,72.82,41.7
51,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis gracilis,82.962,41.717,-247,-237,72.82,41.7
52,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.roessertii,109.01899999999999,35.246,-247,-237,86.79,39.13
53,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis gracilis,110.681,36.097,-247,-201,88.66,39.81
54,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis ichunensis,111.12700000000001,38.461999999999996,-247,-201,89.53,42.11
55,Pteridophyta,Filicopsida,O,F,Cladophlebis,Cladophlebis cf.roessertii,111.01700000000001,40.048,-247,-237,89.7,43.69
56,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis qiandianziensis,123.69200000000001,41.284,-247,-237,103.09,43.54
57,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis raciborskii,108.92299999999999,35.33,-247,-201,86.7,39.22
58,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis raciborskii,108.962,35.3,-247,-201,86.73,39.19
59,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis raciborskii,110.992,37.951,-247,-201,89.3,41.62
60,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis raciborskii,111.01100000000001,40.041,-247,-237,89.69,43.69
61,Pteridophyta,Filicopsida,O,F,Cladophlevis,Cladophlevis raciborskii,111.01100000000001,40.041,-247,-201,89.69,43.69
62,Gymnospermae,Pteridospermopsida,O,F,Compsopteris,Compsopteris hughesii,82.925,41.708,-247,-237,72.78,41.71
63,Gymnospermae,Pteridospermopsida,Corystospermaceae,F,Compsopteris,Compsopteris wongii,111.005,40.041,-247,-237,89.68,43.69
64,Gymnospermae,Pteridospermopsida,O,F,Compsopteris,Compsopteris hughesii,110.294,29.511,-247,-237,96.22,21.68
65,Gymnospermae,Pteridospermopsida,O,F,Ctenozamites,Ctenozamites sarrani,111.005,40.041,-247,-237,89.68,43.69
66,Gymnospermae,Pteridospermopsida,O,F,Ctenozamites,Ctenozamites cf.sarrani,112.29799999999999,39.001,-247,-237,90.85,42.52
67,Gymnospermae,Pteridospermopsida,O,F,Ctenozamites,Ctenozamites cf.sarrani,111.669,36.254,-247,-201,95.62,43.32
68,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis fecunda,88.896,44.016999999999996,-247,-201,84.73,47.57
69,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis magnifolia,109.008,35.245,-247,-237,86.77,39.13
70,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis plana,109.008,35.245,-247,-237,86.77,39.13
71,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis minuta,110.68799999999999,36.104,-247,-201,88.67,39.81
72,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis magnifolia,110.501,38.025999999999996,-247,-237,88.79,41.74
73,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis cf.marantacea,110.505,38.848,-247,-237,88.94,42.55
74,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis cf.marantacea,110.99799999999999,37.957,-247,-201,89.3,41.62
75,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis fecunda,110.992,37.951,-247,-201,89.3,41.62
76,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis fecunda,111.12700000000001,38.461999999999996,-247,-201,89.53,42.11
77,Pteridophyta,Filicopsida,O,Angiopteridaceae,Danaeopsis,Danaeopsis fecunda,111.67399999999999,36.253,-247,-201,89.72,39.86
78,Gymnospermae,Pteridospermopsida,O,F,Dicrodium,Dicrodium allophyllum,123.68700000000001,41.282,-247,-237,103.08,43.53
79,Gymnospermae,Cycadopsida,O,F,Drepanozamites,Drepanozamites schizophylla,82.925,41.708,-247,-237,72.78,41.71
80,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites brevidentatus,93.101,43.571000000000005,-247,-237,71.53,49.05
81,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.arenaceus,106.93799999999999,34.806,-247,-237,84.54,38.9
82,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites brevidentatus,89.178,43.901,-247,-237,84.82,47.34
83,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites stenodon,89.178,43.901,-247,-237,84.82,47.34
84,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites stenodon,109.051,35.211,-247,-237,86.81,39.09
85,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites tongchuanensis,109.051,35.209,-247,-237,86.81,39.09
86,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites brevidentatus,110.494,38.009,-247,-237,88.78,41.72
87,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites stenodon,110.676,36.098,-247,-201,94.5,43.34
88,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.mougeoti,110.986,37.951,-247,-201,95.39,45.09
89,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.sarrani,111.12100000000001,38.461,-247,-201,95.69,45.57
90,Pteridophyta,Sphenopsida,Equisetales,F,Equisetites,Equisetites cf.gracilis,110.164,29.475,-247,-237,96.14,21.59
91,Pteridophyta,Sphenopsida,Equisetales,F,Equisetum,Equisetum arenaceus,110.164,29.475,-247,-237,96.14,21.59
92,Pteridophyta,Sphenopsida,Equisetales,F,Equisetum,Equisetum furongense,110.294,29.511,-247,-237,96.22,21.68
93,Gymnospermae,C,Ginkgoales,F,Ginkgo,Ginkgo cf.magnifolia,111.005,40.04,-247,-237,89.68,43.68
94,Gymnospermae,C,Ginkgoales,F,Ginkgoidium,Ginkgoidium crassifolium,82.959,41.716,-247,-237,72.82,41.7
95,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites cf.chowi,82.959,41.716,-247,-237,72.82,41.7
96,Gymnospermae,C,Ginkgoales,F,Ginkgoites,Ginkgoites cf.marginatus,111.005,40.04,-247,-237,89.68,43.68
97,Pteridophyta,Filicopsida,O,Gleicheniaceae,Gleichenites,Gleichenites benxiensis,123.69200000000001,41.284,-247,-237,103.09,43.54
98,Gymnospermae,C,Ginkgoales,F,Glossophyllum,Glossophyllum shensiense,82.959,41.716,-247,-237,72.82,41.7
99,Gymnospermae,C,Ginkgoales,F,Glossophyllum,Glossophyllum shensiense,111.005,40.04,-247,-237,89.68,43.68
100,Gymnospermae,C,Ginkgoales,F,Glossophyllum,Glossophyllum shensiense,110.986,37.95,-247,-201,95.39,45.09
101,Gymnospermae,C,Ginkgoales,F,Glossophyllum,Glossophyllum shensiense,107.841,36.456,-247,-237,85.74,40.45
102,Gymnospermae,Pteridospermopsida,O,F,Glossopteris,Glossopteris chinensis,109.01799999999999,35.23,-247,-237,86.78,39.12
103,Gymnospermae,Pteridospermopsida,O,F,Glossopteris,Glossopteris cf.angustifolia,109.052,35.21,-247,-237,86.81,39.09
104,Pteridophyta,Filicopsida,O,Dipteridaceae,Hausmannia,Hausmannia ussuriensis,120.67,41.143,-247,-237,99.95,43.74
105,Bryophyta,Hepaticae,O,F,Hepaticites,Hepaticites minutus,123.68700000000001,41.282,-247,-237,103.08,43.53
